Initial_Score,Final_Score,Delta_Score
0.3104359313077939,0.512549537648613,0.2021136063408191
0.3,0.5295302013422819,0.22953020134228191
0.3153446033810143,0.5123537061118335,0.19700910273081923
0.2921727395411606,0.4966261808367072,0.2044534412955466
0.28737997256515774,0.5013717421124828,0.21399176954732507
0.31389252948885976,0.4855832241153342,0.17169069462647446
0.2912234042553192,0.5226063829787234,0.23138297872340424
0.2957650273224044,0.4918032786885246,0.1960382513661202
0.3106159895150721,0.4849279161205767,0.1743119266055046
0.33483290488431877,0.5205655526992288,0.18573264781491
0.3326822916666667,0.515625,0.18294270833333331
0.3197747183979975,0.5225281602002503,0.2027534418022528
0.30856760374832665,0.5207496653279786,0.21218206157965197
0.287292817679558,0.47928176795580113,0.19198895027624313
0.31086387434554974,0.5399214659685864,0.22905759162303663
0.3047808764940239,0.50265604249668,0.19787516600265603
0.31330749354005166,0.4974160206718346,0.18410852713178294
0.2872200263504611,0.5046113306982872,0.2173913043478261
0.3169469598965071,0.5213454075032341,0.20439844760672699
0.3116883116883117,0.5428571428571428,0.23116883116883113
0.3178893178893179,0.49935649935649934,0.18146718146718144
0.2880886426592798,0.49930747922437674,0.21121883656509693
0.29377431906614787,0.5265888456549935,0.23281452658884566
0.2853333333333333,0.5093333333333333,0.22399999999999998
0.30660377358490565,0.5256064690026954,0.21900269541778972
0.30423280423280424,0.4933862433862434,0.18915343915343913
0.30268456375838926,0.49261744966442955,0.1899328859060403
0.306,0.5373333333333333,0.23133333333333334
0.34009840098400984,0.509840098400984,0.16974169741697415
0.2975708502024291,0.5067476383265856,0.20917678812415652
0.2923280423280423,0.5191798941798942,0.22685185185185186
0.2904761904761905,0.49795918367346936,0.20748299319727886
0.3065359477124183,0.5444444444444444,0.23790849673202608
0.29778393351800553,0.49445983379501385,0.19667590027700832
0.31059602649006623,0.5059602649006623,0.19536423841059603
0.3257477243172952,0.5403120936280884,0.2145643693107932
0.2923076923076923,0.4706293706293706,0.17832167832167828
0.3003731343283582,0.542910447761194,0.2425373134328358
0.29685452162516385,0.4927916120576671,0.19593709043250324
0.29768392370572205,0.521117166212534,0.22343324250681196
0.31484049930651875,0.470873786407767,0.15603328710124825
0.3201024327784891,0.5057618437900128,0.18565941101152367
0.30250990752972257,0.5171730515191546,0.21466314398943204
0.30149051490514905,0.497289972899729,0.19579945799457993
0.2849162011173184,0.47695530726256985,0.19203910614525144
0.27847222222222223,0.49444444444444446,0.21597222222222223
0.29343365253077974,0.5198358413132695,0.2264021887824898
0.28495339547270304,0.4986684420772304,0.21371504660452734
0.30970625798212004,0.5217113665389528,0.21200510855683274
0.286,0.5073333333333333,0.22133333333333333
0.29102384291725103,0.4901823281907433,0.19915848527349228
0.3158236057068742,0.5097276264591439,0.19390402075226976
0.322663252240717,0.5416133162612036,0.21895006402048656
0.27801120448179273,0.4992997198879552,0.22128851540616246
0.28980446927374304,0.5013966480446927,0.2115921787709497
0.28383705650459923,0.507227332457293,0.22339027595269378
0.29958960328317374,0.4897400820793434,0.19015047879616964
0.2867231638418079,0.4964689265536723,0.2097457627118644
0.29195088676671216,0.49113233287858116,0.199181446111869
0.2700573065902579,0.498567335243553,0.22851002865329512
0.29411764705882354,0.49658002735978113,0.2024623803009576
0.3038309114927345,0.5059445178335535,0.20211360634081904
0.28975741239892183,0.5303234501347709,0.24056603773584906
0.28864569083447333,0.5129958960328317,0.22435020519835835
0.2935656836461126,0.5120643431635389,0.2184986595174263
0.28688524590163933,0.505464480874317,0.21857923497267762
0.29415760869565216,0.47282608695652173,0.17866847826086957
0.28435374149659864,0.5061224489795918,0.22176870748299315
0.28661087866108786,0.5034867503486751,0.2168758716875872
0.2939189189189189,0.522972972972973,0.22905405405405405
0.30993377483443707,0.5152317880794702,0.20529801324503316
0.31029986962190353,0.5130378096479792,0.20273794002607565
0.2978580990629183,0.5093708165997323,0.21151271753681394
0.3096514745308311,0.4859249329758713,0.17627345844504022
0.2963215258855586,0.5252043596730245,0.22888283378746588
0.2840755735492578,0.48313090418353577,0.199055330634278
0.2993377483443709,0.5059602649006623,0.20662251655629138
0.3029100529100529,0.4887566137566138,0.18584656084656087
0.29634831460674155,0.5021067415730337,0.20575842696629215
0.30749354005167956,0.5297157622739018,0.22222222222222227
0.31620553359683795,0.5289855072463768,0.21277997364953888
0.30709677419354836,0.5219354838709678,0.21483870967741941
0.29698216735253774,0.5061728395061729,0.20919067215363513
0.32306684141546527,0.5255570117955439,0.20249017038007866
0.3145478374836173,0.5163826998689384,0.20183486238532106
0.3073394495412844,0.5111402359108781,0.2038007863695937
0.3030913978494624,0.5053763440860215,0.20228494623655913
0.3037135278514589,0.5053050397877984,0.2015915119363395
0.3016759776536313,0.5,0.1983240223463687
0.31257861635220124,0.530188679245283,0.21761006289308177
0.2889655172413793,0.4806896551724138,0.1917241379310345
0.2964426877470356,0.5065876152832675,0.21014492753623187
0.32478097622027535,0.5106382978723404,0.18585732165206503
0.2869986168741355,0.4723374827109267,0.18533886583679116
0.30678851174934724,0.5267624020887729,0.21997389033942566
0.2842465753424658,0.4952054794520548,0.210958904109589
0.3044914134742404,0.5079260237780714,0.20343461030383098
0.29023746701846964,0.5263852242744064,0.23614775725593673
0.30958549222797926,0.49417098445595853,0.18458549222797926
0.30541237113402064,0.5341494845360825,0.22873711340206182
0.3163001293661061,0.5116429495472187,0.1953428201811126
0.3125,0.5019329896907216,0.18943298969072164
0.27583798882681565,0.4825418994413408,0.20670391061452514
0.31007751937984496,0.5529715762273901,0.24289405684754517
0.30958721704394143,0.5186418109187749,0.2090545938748335
0.30940279542566707,0.49872935196950446,0.1893265565438374
0.285427807486631,0.5133689839572193,0.2279411764705883
0.3082368082368082,0.4980694980694981,0.18983268983268986
0.2732793522267207,0.48582995951417,0.21255060728744934
0.2980769230769231,0.5027472527472527,0.20467032967032966
0.2707756232686981,0.5083102493074793,0.23753462603878117
0.3040103492884864,0.4961190168175938,0.19210866752910738
0.30675675675675673,0.497972972972973,0.19121621621621626
0.279887482419128,0.4880450070323488,0.20815752461322085
0.3104575163398693,0.503921568627451,0.19346405228758168
0.30376344086021506,0.4838709677419355,0.18010752688172044
0.31200527704485487,0.5224274406332454,0.21042216358839055
0.3049932523616734,0.5040485829959515,0.19905533063427805
0.31512071156289706,0.5120711562897078,0.19695044472681073
0.28592162554426703,0.488388969521045,0.20246734397677796
0.28848728246318606,0.5408299866131191,0.25234270414993304
0.29726205997392435,0.5176010430247718,0.22033898305084748
0.31450577663671375,0.5154043645699615,0.20089858793324777
0.2922163588390501,0.5079155672823219,0.21569920844327178
0.2986842105263158,0.5164473684210527,0.21776315789473688
